trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,True,"{'a': 0, 'e': 0}",25,0,-161.796939782245,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
26,True,"{'a': 0, 'e': 0}",20,3,-78.41009473633285,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
27,True,"{'a': 0, 'e': 0}",25,0,-63.81529085343067,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
28,True,"{'a': 0, 'e': 0}",20,0,-166.8938140804818,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
29,True,"{'a': 0, 'e': 0}",30,0,-152.16751817551327,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",30,0,-200.42389779329574,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
31,True,"{'a': 0, 'e': 0}",20,0,-194.10240214688707,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
32,True,"{'a': 0, 'e': 0}",20,0,-62.314583075500046,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
33,True,"{'a': 0, 'e': 0}",25,0,-77.5892888887814,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
34,True,"{'a': 0, 'e': 0}",30,9,-142.21028945804898,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 1}",1
35,True,"{'a': 0, 'e': 0}",25,0,-142.3507864419102,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
36,True,"{'a': 0, 'e': 0}",30,14,-74.74727512483473,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
37,True,"{'a': 0, 'e': 0}",20,0,-205.9096245774442,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
38,True,"{'a': 0, 'e': 0}",25,0,-144.19368663840314,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
39,True,"{'a': 0, 'e': 0}",25,0,-136.87698955090048,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
40,True,"{'a': 0, 'e': 0}",30,0,-182.70173250772976,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
