trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.7934700511596,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.29879052133663,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.77021189579817,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.1613909990493,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.881033081789,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
76,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.3065122493474,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
77,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.68689356672584,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
78,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.83790810195782,"{0: 11, 1: 6, 2: 10, 3: 0, 4: 3}",0
79,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.447154701339834,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
80,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.14831582587797,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.3360968902577,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.77198045130766,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
83,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.01722440003797,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.29811555557797,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.71575485801789,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
86,False,"{'a': 0.5, 'e': 1.0}",25,13,-81.17825557528252,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.83174473968036,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.48972638463391,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
89,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.3442705372192,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.04559818580341,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 1.0}",35,24,-22.275591869702716,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.11941730897466,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.71298556374475,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.02899539595992,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
95,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.64557186494052,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.7113559824649,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.2722381892869,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.85401480580376,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
99,False,"{'a': 0.5, 'e': 1.0}",25,16,-18.996680661872727,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.8353979042204,"{0: 14, 1: 7, 2: 8, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.71496120573468,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.6110761401109,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
103,False,"{'a': 0.5, 'e': 1.0}",20,12,-17.82184092700732,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 1.0}",20,8,17.861914054676596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.25776858021894,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.1888652561914,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
107,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.00696799828359,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.24464199375278,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.52975583261946,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
110,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.68646090538792,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
